"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,0.25,1.9269095299469e-100,470.133412557072,-4559.72779740596,-4794.79450368449
1000,0.215,0.825,0.5,8.50568570730735e-25,119.053963445474,-5854.34636928401,-5913.87335100674
1000,0.215,0.825,0.75,1.1849859369016e-10,52.3155674431036,-6064.57787621372,-6090.73565993527
1000,0.215,0.825,1,0.00357881102906254,15.616868722218,-6119.54846298809,-6127.3568973492
1000,0.215,0.825,1.1308,0.61447878716742,2.66997468109366,-6180.00127650395,-6181.33626384449
1000,0.215,0.825,1.25,0.564843718624134,2.95820597152124,-6273.69084612069,-6275.16994910645
1000,0.215,0.825,1.5,0.198677380383437,6.0063120638697,-6156.68522405824,-6159.68838009018
1000,0.215,0.825,1.75,0.0176839325823733,11.9556758647141,-6271.45510626027,-6277.43294419263
1000,0.215,0.825,2,1.13063541140074e-05,28.210367304926,-6305.50720758123,-6319.6123912337
1000,0.215,0.825,2.25,4.27275110652069e-05,25.3526689748323,-6348.72955154189,-6361.4058860293
1000,0.215,0.825,2.5,0.000489522377794086,20.0439420567018,-6421.83938545924,-6431.86135648759
1000,0.215,0.825,2.75,0.00111148095677201,18.2324001262568,-6357.78461185102,-6366.90081191414
1000,0.215,0.825,3,0.000300578617319874,21.1142025906174,-6341.28025110652,-6351.83735240183
1000,0.215,0.825,0.25,3.66103830140367e-103,482.717875245795,-4663.14329243731,-4904.5022300602
1000,0.215,0.825,0.5,1.43984589432764e-31,150.701884328884,-5791.09918513887,-5866.45012730331
1000,0.215,0.825,0.75,4.77399150300358e-09,44.6178383466849,-6109.57334335409,-6131.88226252743
1000,0.215,0.825,1,0.0155858430334107,12.2500046548412,-6055.39273190808,-6061.5177342355
1000,0.215,0.825,1.1308,0.0510513110058539,9.43731652442875,-6078.72421781499,-6083.4428760772
1000,0.215,0.825,1.25,0.816187759784913,1.55874101269364,-6363.08987161086,-6363.86924211721
1000,0.215,0.825,1.5,0.0861906080019955,8.15129665916356,-6250.24843594885,-6254.32408427843
1000,0.215,0.825,1.75,0.00581712544998272,14.5162991801026,-6280.39632214559,-6287.65447173564
1000,0.215,0.825,2,1.17023613360217e-05,28.136628088705,-6281.37594984128,-6295.44426388563
1000,0.215,0.825,2.25,0.0137800129057618,12.5360399516667,-6303.69868146955,-6309.96670144538
1000,0.215,0.825,2.5,5.49638900171691e-06,29.7524861438924,-6281.76807621823,-6296.64431929017
1000,0.215,0.825,2.75,0.0635386124430941,8.90422043504623,-6269.33983171248,-6273.79194193
1000,0.215,0.825,3,0.00419257700393816,15.2592856251249,-6360.42958865523,-6368.05923146779
1000,0.215,0.825,0.25,8.56150919205992e-91,425.50557425457,-4651.83259912127,-4864.58538624856
